Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2010-11,22,TOR,NBA,C,12,59,2.0,.189,.000,.133,13.7,14.4,14.1,4.6,1.8,2.6,15.9,14.3,,-0.2,0.0,-0.2,-0.142,,-6.0,-2.9,-8.9,-0.1
2011-12,23,TOR,NBA,C,14,122,14.2,.418,.000,.222,14.6,30.4,22.6,4.1,0.9,6.0,11.2,17.2,,0.0,0.2,0.2,.083,,-2.9,0.7,-2.2,0.0
2021-22,21,MEM,NBA,PF,32,360,10.2,.452,.364,.242,9.4,16.1,12.6,7.7,0.8,2.5,9.9,18.4,,-0.1,0.4,0.3,.044,,-4.2,-1.5,-5.7,-0.3
2022-23,22,MEM,NBA,PF,24,604,15.1,.574,.479,.213,6.3,18.3,12.3,7.6,1.6,3.7,6.8,15.0,,1.0,0.9,1.9,.148,,0.0,1.4,1.5,0.5
2014-15,23,PHI,NBA,PF,41,540,12.0,.517,.064,.346,14.9,20.7,17.7,8.3,1.6,2.4,15.9,8.6,,0.7,0.7,1.4,.122,,-3.9,0.4,-3.6,-0.2
2010-11,22,OKC,NBA,C,18,142,7.0,.537,.000,.267,11.1,17.5,14.4,4.0,1.8,3.6,32.3,7.9,,0.0,0.2,0.2,.066,,-5.6,1.6,-4.0,-0.1
2011-12,23,OKC,NBA,C,26,173,17.7,.592,.000,.333,9.2,21.6,15.8,2.7,2.4,6.7,15.7,14.9,,0.3,0.4,0.6,.176,,-1.3,2.2,1.0,0.1
2012-13,24,TOT,NBA,C,45,388,11.1,.563,.000,.250,8.7,26.7,17.7,3.4,0.7,4.6,20.6,12.7,,0.1,0.4,0.6,.070,,-3.5,0.6,-2.9,-0.1
2012-13,24,HOU,NBA,C,30,213,7.3,.532,.000,.209,6.5,23.7,15.2,4.1,0.7,3.2,23.0,12.5,,-0.1,0.3,0.2,.038,,-5.6,0.6,-5.0,-0.2
2012-13,24,SAC,NBA,C,15,175,15.7,.598,.000,.297,11.5,30.4,20.7,2.6,0.6,6.3,17.7,12.9,,0.2,0.2,0.4,.109,,-1.0,0.5,-0.5,0.1
